tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
77,4,EAST,-1.0,184.0,199.0,9,0,2,0,0,4,1,3,-1,20,372,1.4356,15004492660260425219463614205974576832720602655759287282809112931336192.000|11553931356363814274222676801741339779253151113697747803781050170081280.000|29319660311223372079387309286428610974179205888674885271381422152613888.000|11124795026387385474855805230645159371277398910612261426831538689933312.000|3676605382217174227499701452685743024550004107301563400467237610455040.000|20054236941950542175215061730168285340255873478594658870099942565740544.000
78,4,EAST,-1.0,183.0,198.0,9,1,2,0,0,3,1,2,-1,20,374,1.4502,230080446593108512948768007482319045345382277449682231121571613232857088.000|228189230014359766287289315430425346294722847863411316504232420945428480.000|597722521317915981666169242863756287736697338297886530020587997073768448.000|110663383285493969821943675727889914318697811738993093803346515569147904.000|82322050638874768898656619049282042001901591019525064605197522941509632.000|379214771202138070297621963061354299903851238224978974510278223935307776.000
79,2,SOUTH,-1.0,182.0,197.0,9,2,2,0,1,2,1,1,-1,20,375,1.4648,5109424905327569977838705943895983038100488205868576733135679284477689856.000|4330996773887877311238080599273923531955015288785088068560190572517654528.000|10888932575978228406118453664738671874278914163805985119998968780340330496.000|180147497703513963115976535325876411742699449872246183851961976472207360.000|1974854710186076167224129812552992203388980554110734691695199489577975808.000|7642850685651346906935452581165389152237991609340437461233592521157771264.000
80,2,SOUTH,-1.0,181.0,196.0,9,2,3,0,0,2,0,1,-2,20,376,1.4794,129573461098652794574995731448077350419238204008662311027561339303340539904.000|97660303593594714080308094095269511458461278909942514962994065637774458880.000|199550244803966690716593628311913253006984721897875185052918118424248320000.000|30596635791772823784023562599751418811015425909095025946403018496400162816.000|32754116151994429864128478253367987446232997207897990307170707698664603648.000|162945047971131276031972466919370711169379532707031146111713075738804486144.000
81,4,EAST,-1.0,180.0,195.0,9,2,4,0,0,2,-1,2,1,20,376,1.494,2869432833917581223200488132441077874753994428040582568237299132449737932800.000|2371394477708571405641759710827682152022306130695240572385406378718309384192.000|4085250257399884833872943757481300874844593961455621689762776566093685194752.000|1181328721577937533641388188136899481619657454152488166323696267496156823552.000|458684955424236419473709437026739718903101696717156596630510293877163819008.000|3493991203613375518019644209482778033268283866955710192125959669020790620160.000
82,4,EAST,-1.0,179.0,194.0,9,3,4,1,1,1,-1,1,1,20,376,1.5086,55165814567744635197227639206622372669824567826108184652749189180828900392960.000|49993242030377521474353006990800517683202264583300588987118540824730463633408.000|91568634702925905992608926501368823662567267702022500140777384732240992272384.000|31269854451319089081459227347054389737264727782105919761421724280595826081792.000|10319899304390387453561512866177637066776476692531946363997865250793843589120.000|75424271316881495458697972404907239649407475643954592293239199665218329247744.000
83,1,NORTH,-1.0,178.0,193.0,9,4,4,1,1,0,-1,0,1,20,376,1.5232,1063470151823014895992898262240994402334490103549240519322509275294682012712960.000|988953872368978099499119285497567321550910267963593673998212495121704216952832.000|2048836526536394060643945149911093418428052034359306940364119347951142250217472.000|706308065556183134315857947100619069468449242132697285766623108072160150683648.000|253727781317877054802873431974965531118085720494248396781086033318433383251968.000|1530341269911619371124242410984091212876540465594380024792072109166309930958848.000
84,5,EAT,27.0,205.0,200.0,10,4,3,1,0,0,0,0,2,20,377,1.521,22546398082060069856014454367506203474576317336668916354314114111281119319031808.000|19619420799815502622181513807913495569480511647573366061002307905486068815757312.000|45989524809273045121434678284109609919673601755057037207434856361372277220048896.000|11552648133824298574673715647584725324216906264209770080491533459321876392181760.000|7036533034844498957189110917056325003836328668813401705180821177460500715274240.000|31528436195771348390149671255242845012091236524779258813851843475735668347371520.000
85,2,SOUTH,-1.0,204.0,199.0,10,4,3,0,0,0,-3,0,2,20,377,1.5356,505806902577291395961543289495930757829379204092840649737544682607785754065108992.000|399307803355724090108529799125135029536839123360278120874458379141321951711068160.000|1001586888376966609354179132796323585456389796884965054049114317876832264765046784.000|161927218626943949216742923937616214325414947350861244186629419401874109919920128.000|196870776031422735213947947069024393689374554217413666390202992318699198893522944.000|665164330196135626122384955906232982072899272810845716988536508775478310738067456.000
86,1,NORTH,-1.0,203.0,198.0,10,4,4,0,1,0,-4,0,1,20,377,1.5502,10970951801830203104130463053715298950128852997537749259465394816501040758929752064.000|7840936878573270605489558863902248871251898714236428142083559842871273610075439104.000|21189502377081500421048513752390571935449533283506390024941260593576577176415764480.000|2498760682653998459055183978334997050186106207898975849541949220839538431920963584.000|4763910758634589739585406469615692636161572643116493036660037009069239601509433344.000|14378220694622624265773365682119904772284084302209557184480927275501205186454487040.000
